<class 'NameError'>,http://www.familyguyfiles.com
<class 'NameError'>,http://movieweb.com
<class 'NameError'>,http://www.imdb.com
<class 'NameError'>,http://www.decaljunky.com
<class 'NameError'>,http://www.modernimage.net
<class 'NameError'>,http://www.webdecal.com
<class 'NameError'>,http://www.customautotrim.com
<class 'NameError'>,http://stickers.signprint.co.uk
<class 'NameError'>,http://stickers.signprint.co.uk
<class 'NameError'>,http://www.motorcitydecals.com
<class 'NameError'>,http://www.wtmx.com
<class 'NameError'>,http://www.wdrv.com
<class 'NameError'>,http://www.djheadlines.com
<class 'NameError'>,http://www.imdb.com
<class 'NameError'>,http://plato.stanford.edu
<class 'NameError'>,http://www.iep.utm.edu
<class 'NameError'>,http://www.bris.ac.uk
<class 'NameError'>,http://faculty.washington.edu
<class 'NameError'>,http://www.wsu.edu:8080
<class 'NameError'>,http://en.wikipedia.org
<class 'NameError'>,http://citationmachine.net
<class 'NameError'>,http://www.orbitcast.com
<class 'NameError'>,http://citationmachine.net
<class 'NameError'>,http://depts.washington.edu
<class 'NameError'>,http://www.pbs.org
<class 'NameError'>,http://en.wikipedia.org
<class 'NameError'>,http://depts.washington.edu
<class 'NameError'>,http://www2.netdoor.com
<class 'NameError'>,http://www.econ.iastate.edu
<class 'NameError'>,http://cyberjournal.org
<class 'NameError'>,http://depts.washington.edu
